base_candidate,candidate,origin,depth,learning_rate,l2_leaf_reg,max_iterations,iterations,training_rows,evaluation_rows,fit_seconds,prediction_seconds,pinball_loss,baseline_pinball_loss,pinball_difference,median_mae,median_bias,coverage_90,mean_width_90,mean_absolute_calibration_error,quantile_crossings,invalid_90_intervals
depth4_lr0p08,depth4_lr0p08_l25_trees250,2009-03-01,4,0.08,5,250,250,18960,744,27.553985542,0.002207,10.4911307864,10.38357876,0.107552026436,27.4088667957,11.5630301301,0.689516129032,61.4468688485,0.0626126859998,1445,0
depth4_lr0p08,depth4_lr0p08_l25_trees125,2009-04-01,4,0.08,5,250,125,19704,720,28.0672605,0.00319291699998,5.45363032182,4.785073425,0.668556896824,14.7202385809,1.22164977683,0.697222222222,45.3463396986,0.103406285073,835,0
depth4_lr0p08,depth4_lr0p08_l25_trees188,2009-04-01,4,0.08,5,250,188,19704,720,28.0672605,0.0027970000001,5.75166472098,4.785073425,0.966591295985,15.347209195,0.571726760774,0.643055555556,41.1054204128,0.113451178451,2335,0
depth4_lr0p08,depth4_lr0p08_l25_trees250,2009-04-01,4,0.08,5,250,250,19704,720,28.0672605,0.00220279199993,5.87100324194,4.785073425,1.08592981694,15.5827242488,0.179757561863,0.602777777778,38.4987775484,0.120580808081,3758,0
depth4_lr0p08,depth4_lr0p08_l25_trees125,2009-05-01,4,0.08,5,250,125,20424,744,28.807311375,0.00407837500006,4.59731957157,7.013305197,-2.41598562543,13.3465952916,9.72743106161,0.92876344086,48.9168435328,0.124594873466,253,0
depth4_lr0p08,depth4_lr0p08_l25_trees188,2009-05-01,4,0.08,5,250,188,20424,744,28.807311375,0.00525854200009,4.50174056262,7.013305197,-2.51156463438,13.0853999539,8.823134279,0.918010752688,47.0252119901,0.111880091235,460,0
depth4_lr0p08,depth4_lr0p08_l25_trees250,2009-05-01,4,0.08,5,250,250,20424,744,28.807311375,0.00227245799988,4.39954028126,7.013305197,-2.61376491574,12.7178155139,7.89677585588,0.907258064516,45.6085751583,0.101604214185,621,0
depth4_lr0p08,depth4_lr0p08_l25_trees125,2009-06-01,4,0.08,5,250,125,21168,720,29.583578292,0.00326237500008,6.39862332072,6.703083345,-0.304460024281,17.7822611617,-8.34851527112,0.85,66.5243155438,0.10686026936,50,0
depth4_lr0p08,depth4_lr0p08_l25_trees188,2009-06-01,4,0.08,5,250,188,21168,720,29.583578292,0.00294766699994,6.58359752697,6.703083345,-0.119485818033,18.3100573641,-8.70271666248,0.822222222222,61.1126206351,0.111837822671,326,0
depth4_lr0p08,depth4_lr0p08_l25_trees250,2009-06-01,4,0.08,5,250,250,21168,720,29.583578292,0.00242150000008,6.70416138748,6.703083345,0.00107804247625,18.5454390813,-8.34839998959,0.809722222222,58.1805776058,0.109231200898,915,0
depth4_lr0p08,depth4_lr0p08_l25_trees125,2009-07-01,4,0.08,5,250,125,21888,744,30.487588833,0.015590167,6.11093087495,5.975841871,0.135089003945,17.2165698577,-7.20072104459,0.866935483871,66.5460811682,0.0901759530792,18,0
depth4_lr0p08,depth4_lr0p08_l25_trees188,2009-07-01,4,0.08,5,250,188,21888,744,30.487588833,0.00207145900004,6.02390895031,5.975841871,0.0480670793097,16.6461809368,-5.55292030219,0.826612903226,60.1540647957,0.0708955142826,364,0
depth4_lr0p08,depth4_lr0p08_l25_trees250,2009-07-01,4,0.08,5,250,250,21888,744,30.487588833,0.00249783300001,5.96613987614,5.975841871,-0.00970199485928,16.3503857523,-5.48497146556,0.788978494624,55.3442919158,0.0749652438362,745,0
depth4_lr0p08,depth4_lr0p08_l25_trees125,2009-08-01,4,0.08,5,250,125,22632,744,31.047098417,0.00320066699987,7.69389716382,7.355061265,0.338835898823,21.3816594877,12.3361557955,0.770161290323,65.4918200735,0.169911480395,0,0
depth4_lr0p08,depth4_lr0p08_l25_trees188,2009-08-01,4,0.08,5,250,188,22632,744,31.047098417,0.00203491599996,8.1110933505,7.355061265,0.756032085495,22.1733510573,13.3105586845,0.712365591398,58.0114834468,0.18495601173,66,0
depth4_lr0p08,depth4_lr0p08_l25_trees250,2009-08-01,4,0.08,5,250,250,22632,744,31.047098417,0.00245175000009,8.26571105176,7.355061265,0.910649786764,22.4024191525,13.8721700787,0.690860215054,53.6732079457,0.192178777017,379,0
depth4_lr0p08,depth4_lr0p08_l25_trees125,2009-09-01,4,0.08,5,250,125,23376,720,32.35528725,0.00405712500014,7.06190568405,5.693610333,1.36829535105,19.9568561155,-12.2151662645,0.783333333333,61.5667784924,0.188069584736,118,0
depth4_lr0p08,depth4_lr0p08_l25_trees188,2009-09-01,4,0.08,5,250,188,23376,720,32.35528725,0.00295645799997,7.49035214168,5.693610333,1.79674180868,20.6187735436,-12.9854771444,0.697222222222,57.4819694944,0.200583613917,416,0
depth4_lr0p08,depth4_lr0p08_l25_trees250,2009-09-01,4,0.08,5,250,250,23376,720,32.35528725,0.00218695800004,7.78022250209,5.693610333,2.08661216909,20.9688637087,-13.0324748279,0.641666666667,54.1164663762,0.204405162738,605,0
